Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 4 (52),pollenforaging,,,STATE,149.756,169.585,19.829,,
nest	QF11	20181119	16,2018-11-19 16:00:10,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181119_160902.avi,1759.720,25.0,Worker 4 (52),feedsbrood,,,POINT,150.166,150.166,NA,,
nest	QF11	20181118	14,2018-11-18 14:00:29,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181118_143430.avi,1024.320,25.0,Worker 5 (65),feedsbrood,,,POINT,159.406,159.406,NA,,
nest	QF11	20181120	7,2018-11-20 07:00:22,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181120_070450.avi,1688.200,25.0,Worker 2 (17),feedsbrood,,,POINT,173.602,173.602,NA,,
nest	QF11	20181118	15,2018-11-18 15:00:13,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181118_153452.avi,953.640,25.0,Worker 1 (9),feedsbrood,,,POINT,175.805,175.805,NA,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),pollenforaging,,,STATE,177.692,221.319,43.627,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,,STATE,179.385,234.056,54.671,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),nectarforaging,,,STATE,179.765,354.631,174.866,,
nest	QF11	20181118	15,2018-11-18 15:00:13,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181118_153452.avi,953.640,25.0,Worker 4 (52),feedsbrood,,,POINT,187.480,187.480,NA,,
for	QF11	20181118	15,2018-11-18 15:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_153652.avi,945.920,25.0,Worker 4 (52),nectarforaging,,,STATE,196.233,229.132,32.899,,
nest	QF11	20181119	16,2018-11-19 16:00:10,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181119_160902.avi,1759.720,25.0,Worker 4 (52),feedsbrood,,,POINT,221.087,221.087,NA,,
nest	QF11	20181114	8,2018-11-14 08:00:33,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181114_081310.avi,1055.360,25.0,Worker 5 (65),feedsbrood,,,POINT,250.372,250.372,NA,,
nest	QF11	20181119	21,2018-11-19 21:00:03,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181119_210951.avi,1732.040,25.0,Worker 4 (52),feedsbrood,,,POINT,250.531,250.531,NA,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),pollenforaging,,,STATE,252.099,259.874,7.775,,
for	QF11	20181118	15,2018-11-18 15:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_153652.avi,945.920,25.0,Worker 5 (65),nectarforaging,,,STATE,256.440,315.060,58.620,,
nest	QF11	20181119	16,2018-11-19 16:00:10,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181119_160902.avi,1759.720,25.0,Worker 4 (52),feedsbrood,,,POINT,260.633,260.633,NA,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),nectarforaging,,,STATE,261.298,332.079,70.781,,
for	QF11	20181118	13,2018-11-18 13:00:00,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_133625.avi,1119.800,25.0,Worker 1 (9),nectarforaging,,,STATE,263.566,266.967,3.401,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,,STATE,265.250,278.975,13.725,,
nest	QF11	20181119	16,2018-11-19 16:00:10,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181119_160902.avi,1759.720,25.0,Worker 4 (52),feedsbrood,,,POINT,285.310,285.310,NA,,
nest	QF11	20181118	14,2018-11-18 14:00:29,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181118_143430.avi,1024.320,25.0,Worker 3 (42),feedsbrood,,,POINT,299.091,299.091,NA,,
for	QF11	20181118	15,2018-11-18 15:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_153652.avi,945.920,25.0,Worker 4 (52),nectarforaging,,,STATE,315.332,351.420,36.088,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Unknown worker,pollenforaging,,,STATE,327.645,353.425,25.780,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),pollenforaging,,,STATE,337.527,365.329,27.802,,
for	QF11	20181118	15,2018-11-18 15:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_153652.avi,945.920,25.0,Worker 5 (65),pollenforaging,,,STATE,351.691,382.896,31.205,,
for	QF11	20181114	8,2018-11-14 08:00:53,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181114_081520.avi,1054.040,25.0,Worker 2 (17),nectarforaging,,,STATE,353.370,433.665,80.295,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,,STATE,354.435,417.135,62.700,,
for	QF11	20181118	15,2018-11-18 15:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_153652.avi,945.920,25.0,Worker 5 (65),nectarforaging,,,STATE,382.896,477.772,94.876,,
nest	QF11	20181113	21,2019-10-10 08:42:38,/Volumes/GoogleDrive/My Drive/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181113_210958.avi,821.240,25.0,Queen (98),feedsbrood,,,POINT,393.469,393.469,NA,,
for	QF11	20181118	9,2018-11-18 09:00:45,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_093517.avi,884.120,25.0,Worker 1 (9),nectarforaging,,,STATE,410.928,439.157,28.229,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),nectarforaging,,,STATE,415.681,524.753,109.072,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 1 (9),nectarforaging,,,STATE,419.556,457.578,38.022,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,,STATE,445.579,457.600,12.021,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),nectarforaging,,,STATE,450.839,452.739,1.900,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),pollenforaging,,,STATE,453.264,479.615,26.351,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),nectarforaging,,,STATE,490.650,549.085,58.435,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Unknown worker,pollenforaging,,,STATE,505.576,518.606,13.030,,
for	QF11	20181118	9,2018-11-18 09:00:45,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_093517.avi,884.120,25.0,Worker 4 (52),nectarforaging,,,STATE,520.737,562.427,41.690,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),nectarforaging,,,STATE,533.406,627.322,93.916,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),pollenforaging,,,STATE,551.485,640.220,88.735,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Unknown worker,pollenforaging,,,STATE,551.929,570.780,18.851,,
for	QF11	20181118	14,2018-11-18 14:00:39,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_143637.avi,1020.200,25.0,Worker 5 (65),nectarforaging,,,STATE,566.717,625.720,59.003,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),pollenforaging,,,STATE,576.179,612.520,36.341,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,,STATE,612.600,650.797,38.197,,
for	QF11	20181118	14,2018-11-18 14:00:39,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_143637.avi,1020.200,25.0,Worker 5 (65),nectarforaging,,,STATE,656.187,720.221,64.034,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),nectarforaging,,,STATE,666.658,669.035,2.377,,
for	QF11	20181118	9,2018-11-18 09:00:45,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_093517.avi,884.120,25.0,Unknown worker,nectarforaging,,,STATE,668.212,689.604,21.392,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),nectarforaging,,,STATE,672.947,737.906,64.959,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,,STATE,680.981,723.181,42.200,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),nectarforaging,,,STATE,690.769,723.268,32.499,,
for	QF11	20181114	8,2018-11-14 08:00:53,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181114_081520.avi,1054.040,25.0,Worker 5 (65),nectarforaging,,,STATE,725.736,741.969,16.233,,
for	QF11	20181118	15,2018-11-18 15:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_153652.avi,945.920,25.0,Worker 3 (42),nectarforaging,,,STATE,749.404,759.051,9.647,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),pollenforaging,,,STATE,754.249,781.048,26.799,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,,STATE,761.026,808.001,46.975,,
for	QF11	20181118	14,2018-11-18 14:00:39,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_143637.avi,1020.200,25.0,Worker 5 (65),nectarforaging,,,STATE,765.058,795.165,30.107,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),nectarforaging,,,STATE,781.625,790.974,9.349,,
for	QF11	20181118	9,2018-11-18 09:00:45,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_093517.avi,884.120,25.0,Unknown worker,nectarforaging,,,STATE,808.127,874.546,66.419,,
for	QF11	20181118	14,2018-11-18 14:00:39,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_143637.avi,1020.200,25.0,Worker 5 (65),nectarforaging,,,STATE,808.165,833.765,25.600,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),nectarforaging,,,STATE,840.698,869.995,29.297,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,,STATE,841.176,900.461,59.285,,
for	QF11	20181118	15,2018-11-18 15:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_153652.avi,945.920,25.0,Worker 4 (52),nectarforaging,,,STATE,841.578,872.201,30.623,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),pollenforaging,,,STATE,849.726,859.571,9.845,,
for	QF11	20181118	14,2018-11-18 14:00:39,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_143637.avi,1020.200,25.0,Worker 5 (65),nectarforaging,,,STATE,859.596,912.896,53.300,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 4 (52),nectarforaging,,,STATE,873.096,899.936,26.840,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),nectarforaging,,,STATE,874.149,928.120,53.971,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),pollenforaging,,,STATE,893.072,910.173,17.101,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,,STATE,907.696,927.426,19.730,,
for	QF11	20181118	14,2018-11-18 14:00:39,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_143637.avi,1020.200,25.0,Worker 5 (65),pollenforaging,,,STATE,913.326,916.224,2.898,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 4 (52),nectarforaging,,,STATE,930.701,940.576,9.875,,
for	QF11	20181118	14,2018-11-18 14:00:39,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_143637.avi,1020.200,25.0,Worker 5 (65),nectarforaging,,,STATE,942.838,1007.204,64.366,,
for	QF11	20181114	18,2018-11-14 18:00:22,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181114_185544.avi,1187.240,25.0,Unknown worker,nectarforaging,,,STATE,1067.058,1075.105,8.047,,
